DN,objectClass,cn,sn,l,givenName,distinguishedName,instanceType,whenCreated,whenChanged,displayName,uSNCreated,memberOf,uSNChanged,department,company,name,objectGUID,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,objectSid,accountExpires,logonCount,sAMAccountName,sAMAccountType,userPrincipalName,objectCategory,dSCorePropagationData
"CN=Gabe Frost,OU=Sales,DC=Contoso,DC=com",user,Gabe Frost,Frost,London,Gabe,"CN=Gabe Frost,OU=Sales,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224220.0Z,Gabe Frost,17139,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17143,Sales,Contoso,Gabe Frost,X'a3dbdc21dcf94a4fbe225fad9c06c2c2',66048,0,0,0,0,0,0,132322417400037731,513,X'010500000000000515000000fb8b0447cdcc26afe6258771c9040000',9223372036854775807,0,Gabe,805306368,Gabe@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Gareth Chan,OU=Sales,DC=Contoso,DC=com",user,Gareth Chan,Chan,London,Gareth,"CN=Gareth Chan,OU=Sales,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Gareth Chan,17145,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17149,Sales,Contoso,Gareth Chan,X'9aa24c8721ece446aa2b191c02f9a68c',66048,0,0,0,0,0,0,132322417400350230,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ca040000',9223372036854775807,0,Gareth,805306368,Gareth@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Gerwald Oberleitner,OU=Sales,DC=Contoso,DC=com",user,Gerwald Oberleitner,Oberleitner,London,Gerwald,"CN=Gerwald Oberleitner,OU=Sales,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Gerwald Oberleitner,17163,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17167,Sales,Contoso,Gerwald Oberleitner,X'fbbea9893d997246968c4c609d97c4fe',66048,0,0,0,0,0,0,132322417401131468,513,X'010500000000000515000000fb8b0447cdcc26afe6258771cd040000',9223372036854775807,0,Gerwald,805306368,Gerwald@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Guido Pica,OU=Sales,DC=Contoso,DC=com",user,Guido Pica,Pica,London,Guido,"CN=Guido Pica,OU=Sales,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Guido Pica,17199,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17203,Sales,Contoso,Guido Pica,X'eb2758c1132c874494fd8e2c8962200e',66048,0,0,0,0,0,0,132322417402850226,513,X'010500000000000515000000fb8b0447cdcc26afe6258771d3040000',9223372036854775807,0,Guido,805306368,Guido@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Hanying Feng,OU=Sales,DC=Contoso,DC=com",user,Hanying Feng,Feng,London,Hanying,"CN=Hanying Feng,OU=Sales,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Hanying Feng,17223,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17227,Sales,Contoso,Hanying Feng,X'fc89f77d56034b4fb683e0527d2f0269',66048,0,0,0,0,0,0,132322417404100224,513,X'010500000000000515000000fb8b0447cdcc26afe6258771d7040000',9223372036854775807,0,Hanying,805306368,Hanying@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Humberto Acevedo,OU=Sales,DC=Contoso,DC=com",user,Humberto Acevedo,Acevedo,London,Humberto,"CN=Humberto Acevedo,OU=Sales,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Humberto Acevedo,17259,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17263,Sales,Contoso,Humberto Acevedo,X'e9c5cd22de430647bd0a28b5b3b47296',66048,0,0,0,0,0,0,132322417405818954,513,X'010500000000000515000000fb8b0447cdcc26afe6258771dd040000',9223372036854775807,0,Humberto,805306368,Humberto@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Jack Creasey,OU=Sales,DC=Contoso,DC=com",user,Jack Creasey,Creasey,London,Jack,"CN=Jack Creasey,OU=Sales,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Jack Creasey,17301,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17305,Sales,Contoso,Jack Creasey,X'9a9387f04f13c640bcc15316c6a1545f',66048,0,0,0,0,0,0,132322417407850197,513,X'010500000000000515000000fb8b0447cdcc26afe6258771e4040000',9223372036854775807,0,Jack,805306368,Jack@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Jacky Chen,OU=Sales,DC=Contoso,DC=com",user,Jacky Chen,Chen,London,Jacky,"CN=Jacky Chen,OU=Sales,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Jacky Chen,17307,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17311,Sales,Contoso,Jacky Chen,X'6f707f20fd210c41b3593c9b6c618ace',66048,0,0,0,0,0,0,132322417408162860,513,X'010500000000000515000000fb8b0447cdcc26afe6258771e5040000',9223372036854775807,0,Jacky,805306368,Jacky@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Jason McCue,OU=Sales,DC=Contoso,DC=com",user,Jason McCue,McCue,London,Jason,"CN=Jason McCue,OU=Sales,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Jason McCue,17331,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17335,Sales,Contoso,Jason McCue,X'd56b39094d564b41b940c6ccb4ea8625',66048,0,0,0,0,0,0,132322417409412709,513,X'010500000000000515000000fb8b0447cdcc26afe6258771e9040000',9223372036854775807,0,Jason,805306368,Jason@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Jim Wickham,OU=Sales,DC=Contoso,DC=com",user,Jim Wickham,Wickham,London,Jim,"CN=Jim Wickham,OU=Sales,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Jim Wickham,17361,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17365,Sales,Contoso,Jim Wickham,X'baa6d28051f7fe42a0bd1e2c762b26de',66048,0,0,0,0,0,0,132322417410818941,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ee040000',9223372036854775807,0,Jim,805306368,Jim@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Joao Casqueiro,OU=Sales,DC=Contoso,DC=com",user,Joao Casqueiro,Casqueiro,London,Joao,"CN=Joao Casqueiro,OU=Sales,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Joao Casqueiro,17367,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17371,Sales,Contoso,Joao Casqueiro,X'4b55ffb7931c8d4587dd0f3b5a535544',66048,0,0,0,0,0,0,132322417411131437,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ef040000',9223372036854775807,0,Joao,805306368,Joao@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Jossef Goldberg,OU=Sales,DC=Contoso,DC=com",user,Jossef Goldberg,Goldberg,London,Jossef,"CN=Jossef Goldberg,OU=Sales,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Jossef Goldberg,17409,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17413,Sales,Contoso,Jossef Goldberg,X'd07e44930f58df4b990980ff01fc3b98',66048,0,0,0,0,0,0,132322417413162684,513,X'010500000000000515000000fb8b0447cdcc26afe6258771f6040000',9223372036854775807,0,Jossef,805306368,Jossef@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Kevin Cook,OU=Sales,DC=Contoso,DC=com",user,Kevin Cook,Cook,London,Kevin,"CN=Kevin Cook,OU=Sales,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Kevin Cook,17475,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17479,Sales,Contoso,Kevin Cook,X'0c1173416c25854cbef2d918acb869df',66048,0,0,0,0,0,0,132322417416443921,513,X'010500000000000515000000fb8b0447cdcc26afe625877101050000',9223372036854775807,0,Kevin,805306368,Kevin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Marian Henc,OU=Sales,DC=Contoso,DC=com",user,Marian Henc,Henc,London,Marian,"CN=Marian Henc,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Marian Henc,17559,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17563,Sales,Contoso,Marian Henc,X'1ff493c8910d0c4d86e8060fcd163bc0',66048,0,0,0,0,0,0,132322417420506412,513,X'010500000000000515000000fb8b0447cdcc26afe62587710f050000',9223372036854775807,0,Marian,805306368,Marian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Mark Steele,OU=Sales,DC=Contoso,DC=com",user,Mark Steele,Steele,London,Mark,"CN=Mark Steele,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Mark Steele,17571,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17575,Sales,Contoso,Mark Steele,X'6def018e8ff556468377a738f2aad22a',66048,0,0,0,0,0,0,132322417420975155,513,X'010500000000000515000000fb8b0447cdcc26afe625877111050000',9223372036854775807,0,Mark,805306368,Mark@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Mete Goktepe,OU=Sales,DC=Contoso,DC=com",user,Mete Goktepe,Goktepe,London,Mete,"CN=Mete Goktepe,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Mete Goktepe,17607,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17611,Sales,Contoso,Mete Goktepe,X'3f9119260eb7424aa03cf617476ecf75',66048,0,0,0,0,0,0,132322417422381401,513,X'010500000000000515000000fb8b0447cdcc26afe625877117050000',9223372036854775807,0,Mete,805306368,Mete@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Michiel Wories,OU=Sales,DC=Contoso,DC=com",user,Michiel Wories,Wories,London,Michiel,"CN=Michiel Wories,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Michiel Wories,17625,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17629,Sales,Contoso,Michiel Wories,X'c5913a15dd667349a15a7a34e28fc53a',66048,0,0,0,0,0,0,132322417423162657,513,X'010500000000000515000000fb8b0447cdcc26afe62587711a050000',9223372036854775807,0,Michiel,805306368,Michiel@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Minesh Lad,OU=Sales,DC=Contoso,DC=com",user,Minesh Lad,Lad,London,Minesh,"CN=Minesh Lad,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Minesh Lad,17643,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17647,Sales,Contoso,Minesh Lad,X'97e7a7aa664b744284d099cb3e0a597c',66048,0,0,0,0,0,0,132322417423787646,513,X'010500000000000515000000fb8b0447cdcc26afe62587711d050000',9223372036854775807,0,Minesh,805306368,Minesh@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Nelson Siu,OU=Sales,DC=Contoso,DC=com",user,Nelson Siu,Siu,London,Nelson,"CN=Nelson Siu,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Nelson Siu,17679,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17683,Sales,Contoso,Nelson Siu,X'06fe86529af14746a928238faa28aedf',66048,0,0,0,0,0,0,132322417425193892,513,X'010500000000000515000000fb8b0447cdcc26afe625877123050000',9223372036854775807,0,Nelson,805306368,Nelson@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Oleg Anashkin,OU=Sales,DC=Contoso,DC=com",user,Oleg Anashkin,Anashkin,London,Oleg,"CN=Oleg Anashkin,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Oleg Anashkin,17709,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17713,Sales,Contoso,Oleg Anashkin,X'f1d5335675c04946b11a5d74eaf24d59',66048,0,0,0,0,0,0,132322417426443904,513,X'010500000000000515000000fb8b0447cdcc26afe625877128050000',9223372036854775807,0,Oleg,805306368,Oleg@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Palle Petersen,OU=Sales,DC=Contoso,DC=com",user,Palle Petersen,Petersen,London,Palle,"CN=Palle Petersen,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Palle Petersen,17727,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17731,Sales,Contoso,Palle Petersen,X'f6ab622930339b4ab15e3be461e17e23',66048,0,0,0,0,0,0,132322417427068893,513,X'010500000000000515000000fb8b0447cdcc26afe62587712b050000',9223372036854775807,0,Palle,805306368,Palle@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Paul Koch,OU=Sales,DC=Contoso,DC=com",user,Paul Koch,Koch,London,Paul,"CN=Paul Koch,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Paul Koch,17739,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17743,Sales,Contoso,Paul Koch,X'55d4d866d34c96479ef82238c2cd4705',66048,0,0,0,0,0,0,132322417427537641,513,X'010500000000000515000000fb8b0447cdcc26afe62587712d050000',9223372036854775807,0,Paul,805306368,Paul@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Peter Waxman,OU=Sales,DC=Contoso,DC=com",user,Peter Waxman,Waxman,London,Peter,"CN=Peter Waxman,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Peter Waxman,17763,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17767,Sales,Contoso,Peter Waxman,X'c438a953e6e4034eba1947db07fd8493',66048,0,0,0,0,0,0,132322417428475139,513,X'010500000000000515000000fb8b0447cdcc26afe625877131050000',9223372036854775807,0,Peter,805306368,Peter@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Renee Lo,OU=Sales,DC=Contoso,DC=com",user,Renee Lo,Lo,London,Renee,"CN=Renee Lo,OU=Sales,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224223.0Z,Renee Lo,17799,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17803,Sales,Contoso,Renee Lo,X'141b8903752ce442a574b7110c98aa99',66048,0,0,0,0,0,0,132322417429881387,513,X'010500000000000515000000fb8b0447cdcc26afe625877137050000',9223372036854775807,0,Renee,805306368,Renee@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Robert Hernady,OU=Sales,DC=Contoso,DC=com",user,Robert Hernady,Hernady,London,Robert,"CN=Robert Hernady,OU=Sales,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Robert Hernady,17823,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17827,Sales,Contoso,Robert Hernady,X'87a365ebb122a245b8a405c8baef2956',66048,0,0,0,0,0,0,132322417430975135,513,X'010500000000000515000000fb8b0447cdcc26afe62587713b050000',9223372036854775807,0,Robert,805306368,Robert@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Roger Harui,OU=Sales,DC=Contoso,DC=com",user,Roger Harui,Harui,London,Roger,"CN=Roger Harui,OU=Sales,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Roger Harui,17835,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17839,Sales,Contoso,Roger Harui,X'8e7a2e118d155342ac1dac796f5bbf9b',66048,0,0,0,0,0,0,132322417431443887,513,X'010500000000000515000000fb8b0447cdcc26afe62587713d050000',9223372036854775807,0,Roger,805306368,Roger@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Sairaj Uddin,OU=Sales,DC=Contoso,DC=com",user,Sairaj Uddin,Uddin,London,Sairaj,"CN=Sairaj Uddin,OU=Sales,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Sairaj Uddin,17871,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17875,Sales,Contoso,Sairaj Uddin,X'49e107f9893810428d9d7cfb4f324bb4',66048,0,0,0,0,0,0,132322417432850134,513,X'010500000000000515000000fb8b0447cdcc26afe625877143050000',9223372036854775807,0,Sairaj,805306368,Sairaj@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Spencer Low,OU=Sales,DC=Contoso,DC=com",user,Spencer Low,Low,London,Spencer,"CN=Spencer Low,OU=Sales,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Spencer Low,17933,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17937,Sales,Contoso,Spencer Low,X'22407316c591714bbcbc2e34e77e2eb2',66048,0,0,0,0,0,0,132322417435506376,513,X'010500000000000515000000fb8b0447cdcc26afe62587714d050000',9223372036854775807,0,Spencer,805306368,Spencer@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Srinivas Iragavarapu,OU=Sales,DC=Contoso,DC=com",user,Srinivas Iragavarapu,Iragavarapu,London,Srinivas,"CN=Srinivas Iragavarapu,OU=Sales,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Srinivas Iragavarapu,17945,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17949,Sales,Contoso,Srinivas Iragavarapu,X'fd805eec65ae584fba1b7fd26ecb18fa',66048,0,0,0,0,0,0,132322417435975121,513,X'010500000000000515000000fb8b0447cdcc26afe62587714f050000',9223372036854775807,0,Srinivas,805306368,Srinivas@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Suchitra Mohan,OU=Sales,DC=Contoso,DC=com",user,Suchitra Mohan,Mohan,London,Suchitra,"CN=Suchitra Mohan,OU=Sales,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Suchitra Mohan,17975,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17979,Sales,Contoso,Suchitra Mohan,X'349865eaec11f0498496db40267685ba',66048,0,0,0,0,0,0,132322417437068858,513,X'010500000000000515000000fb8b0447cdcc26afe625877154050000',9223372036854775807,0,Suchitra,805306368,Suchitra@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Cameron Baker,OU=Sales,DC=Contoso,DC=com",user,Cameron Baker,Cameron,London,Baker,"CN=Cameron Baker,OU=Sales,DC=Contoso,DC=com",4,20200424224215.0Z,20200424224215.0Z,Cameron Baker,16443,"CN=Sales,OU=Sales,DC=Contoso,DC=com",16447,Sales,Contoso,Cameron Baker,X'e18fb0872c264b469c8af27e78bb3000',66048,0,0,0,0,0,0,132322417357381639,513,X'010500000000000515000000fb8b0447cdcc26afe625877155040000',9223372036854775807,0,Cameron,805306368,Cameron@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Brandon Stuart,OU=Sales,DC=Contoso,DC=com",user,Brandon Stuart,Brandon,London,Stuart,"CN=Brandon Stuart,OU=Sales,DC=Contoso,DC=com",4,20200424224215.0Z,20200424224215.0Z,Brandon Stuart,16461,"CN=Sales,OU=Sales,DC=Contoso,DC=com",16465,Sales,Contoso,Brandon Stuart,X'b88e434bd26d444f8a76afee02b6679c',66048,0,0,0,0,0,0,132322417358475382,513,X'010500000000000515000000fb8b0447cdcc26afe625877158040000',9223372036854775807,0,Brandon,805306368,Brandon@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
