DN,objectClass,cn,sn,l,givenName,distinguishedName,displayName,department,company,name,sAMAccountName,userPrincipalName,objectCategory,UserPassword
"CN=Oleg Anashkin,OU=Sales,DC=Contoso,DC=com",user,Oleg Anashkin,Anashkin,London,Oleg,"CN=Oleg Anashkin,OU=Sales,DC=Contoso,DC=com",Oleg Anashkin,Sales,Contoso,Oleg Anashkin,Oleg,Oleg@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Palle Petersen,OU=Sales,DC=Contoso,DC=com",user,Palle Petersen,Petersen,London,Palle,"CN=Palle Petersen,OU=Sales,DC=Contoso,DC=com",Palle Petersen,Sales,Contoso,Palle Petersen,Palle,Palle@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Paul Koch,OU=Sales,DC=Contoso,DC=com",user,Paul Koch,Koch,London,Paul,"CN=Paul Koch,OU=Sales,DC=Contoso,DC=com",Paul Koch,Sales,Contoso,Paul Koch,Paul,Paul@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Peter Waxman,OU=Sales,DC=Contoso,DC=com",user,Peter Waxman,Waxman,London,Peter,"CN=Peter Waxman,OU=Sales,DC=Contoso,DC=com",Peter Waxman,Sales,Contoso,Peter Waxman,Peter,Peter@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Renee Lo,OU=Sales,DC=Contoso,DC=com",user,Renee Lo,Lo,London,Renee,"CN=Renee Lo,OU=Sales,DC=Contoso,DC=com",Renee Lo,Sales,Contoso,Renee Lo,Renee,Renee@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Robert Hernady,OU=Sales,DC=Contoso,DC=com",user,Robert Hernady,Hernady,London,Robert,"CN=Robert Hernady,OU=Sales,DC=Contoso,DC=com",Robert Hernady,Sales,Contoso,Robert Hernady,Robert,Robert@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Roger Harui,OU=Sales,DC=Contoso,DC=com",user,Roger Harui,Harui,London,Roger,"CN=Roger Harui,OU=Sales,DC=Contoso,DC=com",Roger Harui,Sales,Contoso,Roger Harui,Roger,Roger@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Sairaj Uddin,OU=Sales,DC=Contoso,DC=com",user,Sairaj Uddin,Uddin,London,Sairaj,"CN=Sairaj Uddin,OU=Sales,DC=Contoso,DC=com",Sairaj Uddin,Sales,Contoso,Sairaj Uddin,Sairaj,Sairaj@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Spencer Low,OU=Sales,DC=Contoso,DC=com",user,Spencer Low,Low,London,Spencer,"CN=Spencer Low,OU=Sales,DC=Contoso,DC=com",Spencer Low,Sales,Contoso,Spencer Low,Spencer,Spencer@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Srinivas Iragavarapu,OU=Sales,DC=Contoso,DC=com",user,Srinivas Iragavarapu,Iragavarapu,London,Srinivas,"CN=Srinivas Iragavarapu,OU=Sales,DC=Contoso,DC=com",Srinivas Iragavarapu,Sales,Contoso,Srinivas Iragavarapu,Srinivas,Srinivas@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Suchitra Mohan,OU=Sales,DC=Contoso,DC=com",user,Suchitra Mohan,Mohan,London,Suchitra,"CN=Suchitra Mohan,OU=Sales,DC=Contoso,DC=com",Suchitra Mohan,Sales,Contoso,Suchitra Mohan,Suchitra,Suchitra@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Cameron Baker,OU=Sales,DC=Contoso,DC=com",user,Cameron Baker,Cameron,London,Baker,"CN=Cameron Baker,OU=Sales,DC=Contoso,DC=com",Cameron Baker,Sales,Contoso,Cameron Baker,Cameron,Cameron@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Brandon Stuart,OU=Sales,DC=Contoso,DC=com",user,Brandon Stuart,Brandon,London,Stuart,"CN=Brandon Stuart,OU=Sales,DC=Contoso,DC=com",Brandon Stuart,Sales,Contoso,Brandon Stuart,Brandon,Brandon@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Maria Sullivan,OU=Sales,DC=Contoso,DC=com",user,Maria Sullivan,Maria,London,Sullivan,"CN=Maria Sullivan,OU=Sales,DC=Contoso,DC=com",Maria Sullivan,Sales,Contoso,Maria Sullivan,Maria,Maria@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Thomas Hamborg,OU=Sales,DC=Contoso,DC=com",user,Thomas Hamborg,Hamborg,London,Thomas,"CN=Thomas Hamborg,OU=Sales,DC=Contoso,DC=com",Thomas Hamborg,Sales,Contoso,Thomas Hamborg,Thomas,Thomas@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Juan Morgan,OU=Sales,DC=Contoso,DC=com",user,Juan Morgan,Juan,Seattle,Morgan,"CN=Juan Morgan,OU=Sales,DC=Contoso,DC=com",Juan Morgan,Sales,Contoso,Juan Morgan,Juan,Juan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Waleed Heloo,OU=Sales,DC=Contoso,DC=com",user,Waleed Heloo,Heloo,London,Waleed,"CN=Waleed Heloo,OU=Sales,DC=Contoso,DC=com",Waleed Heloo,Sales,Contoso,Waleed Heloo,Waleed,Waleed@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Devon Torres,OU=Sales,DC=Contoso,DC=com",user,Devon Torres,Devon,Seattle,Torres,"CN=Devon Torres,OU=Sales,DC=Contoso,DC=com",Devon Torres,Sales,Contoso,Devon Torres,Devon,Devon@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Rowan Murphy,OU=Sales,DC=Contoso,DC=com",user,Rowan Murphy,Rowan,Seattle,Murphy,"CN=Rowan Murphy,OU=Sales,DC=Contoso,DC=com",Rowan Murphy,Sales,Contoso,Rowan Murphy,Rowan,Rowan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Kiana Anderson,OU=Sales,DC=Contoso,DC=com",user,Kiana Anderson,Kiana,Seattle,Anderson,"CN=Kiana Anderson,OU=Sales,DC=Contoso,DC=com",Kiana Anderson,Sales,Contoso,Kiana Anderson,Kiana,Kiana@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Gifti Boru,OU=Sales,DC=Contoso,DC=com",user,Gifti Boru,Gifti,Seattle,Boru,"CN=Gifti Boru,OU=Sales,DC=Contoso,DC=com",Gifti Boru,Sales,Contoso,Gifti Boru,Gifti,Gifti@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Radi Bettar,OU=Sales,DC=Contoso,DC=com",user,Radi Bettar,Radi,Seattle,Bettar,"CN=Radi Bettar,OU=Sales,DC=Contoso,DC=com",Radi Bettar,Sales,Contoso,Radi Bettar,Radi,Radi@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Selam Fekadu,OU=Sales,DC=Contoso,DC=com",user,Selam Fekadu,Selam,Seattle,Fekadu,"CN=Selam Fekadu,OU=Sales,DC=Contoso,DC=com",Selam Fekadu,Sales,Contoso,Selam Fekadu,Selam,Selam@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Fatos Zeneli,OU=Sales,DC=Contoso,DC=com",user,Fatos Zeneli,Fatos,London,Zeneli,"CN=Fatos Zeneli,OU=Sales,DC=Contoso,DC=com",Fatos Zeneli,Sales,Contoso,Fatos Zeneli,Fatos,Fatos@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Reda Sayegh,OU=Sales,DC=Contoso,DC=com",user,Reda Sayegh,Reda,London,Sayegh,"CN=Reda Sayegh,OU=Sales,DC=Contoso,DC=com",Reda Sayegh,Sales,Contoso,Reda Sayegh,Reda,Reda@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Sonila Rama,OU=Sales,DC=Contoso,DC=com",user,Sonila Rama,Sonila,London,Rama,"CN=Sonila Rama,OU=Sales,DC=Contoso,DC=com",Sonila Rama,Sales,Contoso,Sonila Rama,Sonila,Sonila@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Andrea Dunker,OU=Sales,DC=Contoso,DC=com",user,Andrea Dunker,Dunker,Seattle,Andrea,"CN=Andrea Dunker,OU=Sales,DC=Contoso,DC=com",Andrea Dunker,Sales,Contoso,Andrea Dunker,Andrea,Andrea@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
