DN,objectClass,cn,sn,l,givenName,distinguishedName,instanceType,whenCreated,whenChanged,displayName,uSNCreated,memberOf,uSNChanged,department,company,name,objectGUID,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,objectSid,accountExpires,logonCount,sAMAccountName,sAMAccountType,userPrincipalName,objectCategory,dSCorePropagationData
"CN=Joel Lachance,OU=Managers,DC=Contoso,DC=com",user,Joel Lachance,Lachance,London,Joel,"CN=Joel Lachance,OU=Managers,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Joel Lachance,17373,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17377,Managers,Contoso,Joel Lachance,X'94dcb035fe1cde46b8122454b2c81163',66048,0,0,0,0,0,0,132322417411443954,513,X'010500000000000515000000fb8b0447cdcc26afe6258771f0040000',9223372036854775807,0,Joel,805306368,Joel@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Julia Ilyina,OU=Managers,DC=Contoso,DC=com",user,Julia Ilyina,Ilyina,London,Julia,"CN=Julia Ilyina,OU=Managers,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Julia Ilyina,17421,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17425,Managers,Contoso,Julia Ilyina,X'344861f33b28644a9280ba79e818aa93',66048,0,0,0,0,0,0,132322417413787699,513,X'010500000000000515000000fb8b0447cdcc26afe6258771f8040000',9223372036854775807,0,Julia,805306368,Julia@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Kendall Keil,OU=Managers,DC=Contoso,DC=com",user,Kendall Keil,Keil,London,Kendall,"CN=Kendall Keil,OU=Managers,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Kendall Keil,17463,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17467,Managers,Contoso,Kendall Keil,X'7750f05acc9e8345a8b93b45110c5f9c',66048,0,0,0,0,0,0,132322417415818929,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ff040000',9223372036854775807,0,Kendall,805306368,Kendall@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Lolan Song,OU=Managers,DC=Contoso,DC=com",user,Lolan Song,Song,London,Lolan,"CN=Lolan Song,OU=Managers,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Lolan Song,17505,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17509,Managers,Contoso,Lolan Song,X'c8c5bf6e14c3324ab18c628bc601412f',66048,0,0,0,0,0,0,132322417418006438,513,X'010500000000000515000000fb8b0447cdcc26afe625877106050000',9223372036854775807,0,Lolan,805306368,Lolan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Marc Boyer,OU=Managers,DC=Contoso,DC=com",user,Marc Boyer,Boyer,London,Marc,"CN=Marc Boyer,OU=Managers,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Marc Boyer,17535,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17539,Managers,Contoso,Marc Boyer,X'd54f50c3772b124989edb3b443fa6fd0',66048,0,0,0,0,0,0,132322417419412684,513,X'010500000000000515000000fb8b0447cdcc26afe62587710b050000',9223372036854775807,0,Marc,805306368,Marc@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Marcelo Truffat,OU=Managers,DC=Contoso,DC=com",user,Marcelo Truffat,Truffat,London,Marcelo,"CN=Marcelo Truffat,OU=Managers,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Marcelo Truffat,17541,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17545,Managers,Contoso,Marcelo Truffat,X'30ce9f55f10a9142852d14f5f283bc90',66048,0,0,0,0,0,0,132322417419725176,513,X'010500000000000515000000fb8b0447cdcc26afe62587710c050000',9223372036854775807,0,Marcelo,805306368,Marcelo@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Marko Zajc,OU=Managers,DC=Contoso,DC=com",user,Marko Zajc,Zajc,London,Marko,"CN=Marko Zajc,OU=Managers,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Marko Zajc,17583,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17587,Managers,Contoso,Marko Zajc,X'd17459a5a68b624a88c4329dd1ed1a0c',66048,0,0,0,0,0,0,132322417421443925,513,X'010500000000000515000000fb8b0447cdcc26afe625877113050000',9223372036854775807,0,Marko,805306368,Marko@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Morgan Skinner,OU=Managers,DC=Contoso,DC=com",user,Morgan Skinner,Skinner,London,Morgan,"CN=Morgan Skinner,OU=Managers,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Morgan Skinner,17661,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17665,Managers,Contoso,Morgan Skinner,X'6978f0b42789e249b85401054e2ae284',66048,0,0,0,0,0,0,132322417424568905,513,X'010500000000000515000000fb8b0447cdcc26afe625877120050000',9223372036854775807,0,Morgan,805306368,Morgan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Norimichi Yonekura,OU=Managers,DC=Contoso,DC=com",user,Norimichi Yonekura,Yonekura,London,Norimichi,"CN=Norimichi Yonekura,OU=Managers,DC=Contoso,DC=com",4,20200424224222.0Z,20200424224222.0Z,Norimichi Yonekura,17697,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17701,Managers,Contoso,Norimichi Yonekura,X'726fd32911a86a479bfbfd61afaa63ff',66048,0,0,0,0,0,0,132322417425975155,513,X'010500000000000515000000fb8b0447cdcc26afe625877126050000',9223372036854775807,0,Norimichi,805306368,Norimichi@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Rimvydas Saulis,OU=Managers,DC=Contoso,DC=com",user,Rimvydas Saulis,Saulis,London,Rimvydas,"CN=Rimvydas Saulis,OU=Managers,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Rimvydas Saulis,17811,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17815,Managers,Contoso,Rimvydas Saulis,X'f22a52d485b6324395a7cc2f63be1120',66048,0,0,0,0,0,0,132322417430506385,513,X'010500000000000515000000fb8b0447cdcc26afe625877139050000',9223372036854775807,0,Rimvydas,805306368,Rimvydas@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Roxanne Kenison,OU=Managers,DC=Contoso,DC=com",user,Roxanne Kenison,Kenison,London,Roxanne,"CN=Roxanne Kenison,OU=Managers,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Roxanne Kenison,17853,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17857,Managers,Contoso,Roxanne Kenison,X'50a314b3abb96547a70110e58fccfea3',66048,0,0,0,0,0,0,132322417432225129,513,X'010500000000000515000000fb8b0447cdcc26afe625877140050000',9223372036854775807,0,Roxanne,805306368,Roxanne@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Roy Antebi,OU=Managers,DC=Contoso,DC=com",user,Roy Antebi,Antebi,London,Roy,"CN=Roy Antebi,OU=Managers,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Roy Antebi,17859,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17863,Managers,Contoso,Roy Antebi,X'b86e83e872380144beee669c3da36527',66048,0,0,0,0,0,0,132322417432537625,513,X'010500000000000515000000fb8b0447cdcc26afe625877141050000',9223372036854775807,0,Roy,805306368,Roy@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Seth Grossman,OU=Managers,DC=Contoso,DC=com",user,Seth Grossman,Grossman,London,Seth,"CN=Seth Grossman,OU=Managers,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Seth Grossman,17903,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17907,Managers,Contoso,Seth Grossman,X'1d5787f0ae3ac64a90c930ef86a0605a',66048,0,0,0,0,0,0,132322417434256391,513,X'010500000000000515000000fb8b0447cdcc26afe625877148050000',9223372036854775807,0,Seth,805306368,Seth@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Quincy Watson,OU=Managers,DC=Contoso,DC=com",user,Quincy Watson,Quincy,London,Watson,"CN=Quincy Watson,OU=Managers,DC=Contoso,DC=com",4,20200424224215.0Z,20200424224216.0Z,Quincy Watson,16485,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16489,Managers,Contoso,Quincy Watson,X'c9564f45bfff25418511b2a8c34f015f',66048,0,0,0,0,0,0,132322417359881631,513,X'010500000000000515000000fb8b0447cdcc26afe62587715c040000',9223372036854775807,0,Quincy,805306368,Quincy@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Tsvi Reiter,OU=Managers,DC=Contoso,DC=com",user,Tsvi Reiter,Reiter,London,Tsvi,"CN=Tsvi Reiter,OU=Managers,DC=Contoso,DC=com",4,20200424224223.0Z,20200424224223.0Z,Tsvi Reiter,18029,"CN=Managers,OU=Managers,DC=Contoso,DC=com",18033,Managers,Contoso,Tsvi Reiter,X'f8a507a414bbe54697c4ec0d8332b2b8',66048,0,0,0,0,0,0,132322417439256387,513,X'010500000000000515000000fb8b0447cdcc26afe62587715d050000',9223372036854775807,0,Tsvi,805306368,Tsvi@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Walter Felhofer,OU=Managers,DC=Contoso,DC=com",user,Walter Felhofer,Felhofer,London,Walter,"CN=Walter Felhofer,OU=Managers,DC=Contoso,DC=com",4,20200424224224.0Z,20200424224224.0Z,Walter Felhofer,18053,"CN=Managers,OU=Managers,DC=Contoso,DC=com",18057,Managers,Contoso,Walter Felhofer,X'bbab240e9d9c804c87058169a223004a',66048,0,0,0,0,0,0,132322417440193857,513,X'010500000000000515000000fb8b0447cdcc26afe625877161050000',9223372036854775807,0,Walter,805306368,Walter@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Reed Flores,OU=Managers,DC=Contoso,DC=com",user,Reed Flores,Reed,Seattle,Flores,"CN=Reed Flores,OU=Managers,DC=Contoso,DC=com",4,20200424224216.0Z,20200424224216.0Z,Reed Flores,16545,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16549,Managers,Contoso,Reed Flores,X'242d7bd93b2bb24d8c8f09174892e43f',66048,0,0,0,0,0,0,132322417362850348,513,X'010500000000000515000000fb8b0447cdcc26afe625877166040000',9223372036854775807,0,Reed,805306368,Reed@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Yun-Feng Peng,OU=Managers,DC=Contoso,DC=com",user,Yun-Feng Peng,Peng,London,Yun-Feng,"CN=Yun-Feng Peng,OU=Managers,DC=Contoso,DC=com",4,20200424224224.0Z,20200424224224.0Z,Yun-Feng Peng,18089,"CN=Managers,OU=Managers,DC=Contoso,DC=com",18093,Managers,Contoso,Yun-Feng Peng,X'11189afd8198404cacb99f49d370c9b8',66048,0,0,0,0,0,0,132322417441600104,513,X'010500000000000515000000fb8b0447cdcc26afe625877167050000',9223372036854775807,0,Yun-Feng,805306368,Yun-Feng@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Henry Ross,OU=Managers,DC=Contoso,DC=com",user,Henry Ross,Henry,Seattle,Ross,"CN=Henry Ross,OU=Managers,DC=Contoso,DC=com",4,20200424224216.0Z,20200424224216.0Z,Henry Ross,16599,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16603,Managers,Contoso,Henry Ross,X'45f0f7991420fb4d9e2d8dfbb130e1c1',66048,0,0,0,0,0,0,132322417365506599,513,X'010500000000000515000000fb8b0447cdcc26afe62587716f040000',9223372036854775807,0,Henry,805306368,Henry@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Eden Sisay,OU=Managers,DC=Contoso,DC=com",user,Eden Sisay,Eden,Seattle,Sisay,"CN=Eden Sisay,OU=Managers,DC=Contoso,DC=com",4,20200424224216.0Z,20200424224216.0Z,Eden Sisay,16653,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16657,Managers,Contoso,Eden Sisay,X'baf7a5815da19d46b4aa1d9cf77a3098',66048,0,0,0,0,0,0,132322417368319099,513,X'010500000000000515000000fb8b0447cdcc26afe625877178040000',9223372036854775807,0,Eden,805306368,Eden@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Chris Groenewalt,OU=Managers,DC=Contoso,DC=com",user,Chris Groenewalt,Chris,London,Groenewald,"CN=Chris Groenewalt,OU=Managers,DC=Contoso,DC=com",4,20200424224217.0Z,20200424224217.0Z,Chris Groenewalt,16695,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16699,Managers,Contoso,Chris Groenewalt,X'ad1ae59b7f30c04da14facbb1dfb27f3',66048,0,0,0,0,0,0,132322417370350338,513,X'010500000000000515000000fb8b0447cdcc26afe62587717f040000',9223372036854775807,0,Chris,805306368,Chris@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Lisha Daher,OU=Managers,DC=Contoso,DC=com",user,Lisha Daher,Lisha,London,Daher,"CN=Lisha Daher,OU=Managers,DC=Contoso,DC=com",4,20200424224217.0Z,20200424224217.0Z,Lisha Daher,16737,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16741,Managers,Contoso,Lisha Daher,X'e03e786af6aa84459c1dd74f8313041a',66048,0,0,0,0,0,0,132322417372381576,513,X'010500000000000515000000fb8b0447cdcc26afe625877186040000',9223372036854775807,0,Lisha,805306368,Lisha@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Tiaan Theron,OU=Managers,DC=Contoso,DC=com",user,Tiaan Theron,Tiaan,London,Theron,"CN=Tiaan Theron,OU=Managers,DC=Contoso,DC=com",4,20200424224217.0Z,20200424224217.0Z,Tiaan Theron,16743,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16747,Managers,Contoso,Tiaan Theron,X'0f473c9acaed5a4a912e9f22aa57ca29',66048,0,0,0,0,0,0,132322417372537825,513,X'010500000000000515000000fb8b0447cdcc26afe625877187040000',9223372036854775807,0,Tiaan,805306368,Tiaan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Ajay Manchepalli,OU=Managers,DC=Contoso,DC=com",user,Ajay Manchepalli,Manchepalli,Seattle,Ajay,"CN=Ajay Manchepalli,OU=Managers,DC=Contoso,DC=com",4,20200424224217.0Z,20200424224217.0Z,Ajay Manchepalli,16791,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16795,Managers,Contoso,Ajay Manchepalli,X'881eb5cb342dc244b24e45c18878c9ee',66048,0,0,0,0,0,0,132322417379256612,513,X'010500000000000515000000fb8b0447cdcc26afe62587718f040000',9223372036854775807,0,Ajay,805306368,Ajay@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Antonio Bermejo,OU=Managers,DC=Contoso,DC=com",user,Antonio Bermejo,Bermejo,Seattle,Antonio,"CN=Antonio Bermejo,OU=Managers,DC=Contoso,DC=com",4,20200424224218.0Z,20200424224218.0Z,Antonio Bermejo,16851,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16855,Managers,Contoso,Antonio Bermejo,X'67580ec72dec18499f2d01c396a8d9dc',66048,0,0,0,0,0,0,132322417384256547,513,X'010500000000000515000000fb8b0447cdcc26afe625877199040000',9223372036854775807,0,Antonio,805306368,Antonio@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
