DN,objectClass,cn,sn,l,givenName,distinguishedName,displayName,department,company,name,sAMAccountName,userPrincipalName,objectCategory,UserPassword
"CN=Rajesh Ramanathan,OU=Development,DC=Contoso,DC=com",user,Rajesh Ramanathan,Ramanathan,London,Rajesh,"CN=Rajesh Ramanathan,OU=Development,DC=Contoso,DC=com",Rajesh Ramanathan,Development,Contoso,Rajesh Ramanathan,Rajesh,Rajesh@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Rob Caron,OU=Development,DC=Contoso,DC=com",user,Rob Caron,Caron,London,Rob,"CN=Rob Caron,OU=Development,DC=Contoso,DC=com",Rob Caron,Development,Contoso,Rob Caron,Rob,Rob@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ronen Ashkenazi,OU=Development,DC=Contoso,DC=com",user,Ronen Ashkenazi,Ashkenazi,London,Ronen,"CN=Ronen Ashkenazi,OU=Development,DC=Contoso,DC=com",Ronen Ashkenazi,Development,Contoso,Ronen Ashkenazi,Ronen,Ronen@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Run Liu,OU=Development,DC=Contoso,DC=com",user,Run Liu,Liu,London,Run,"CN=Run Liu,OU=Development,DC=Contoso,DC=com",Run Liu,Development,Contoso,Run Liu,Run,Run@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Sean Stewart,OU=Development,DC=Contoso,DC=com",user,Sean Stewart,Stewart,London,Sean,"CN=Sean Stewart,OU=Development,DC=Contoso,DC=com",Sean Stewart,Development,Contoso,Sean Stewart,Sean,Sean@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Shaun Beasley,OU=Development,DC=Contoso,DC=com",user,Shaun Beasley,Beasley,London,Shaun,"CN=Shaun Beasley,OU=Development,DC=Contoso,DC=com",Shaun Beasley,Development,Contoso,Shaun Beasley,Shaun,Shaun@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Steven Thorpe,OU=Development,DC=Contoso,DC=com",user,Steven Thorpe,Thorpe,London,Steven,"CN=Steven Thorpe,OU=Development,DC=Contoso,DC=com",Steven Thorpe,Development,Contoso,Steven Thorpe,Steven,Steven@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Natasha Jones,OU=Development,DC=Contoso,DC=com",user,Natasha Jones,Natasha,London,Jones,"CN=Natasha Jones,OU=Development,DC=Contoso,DC=com",Natasha Jones,Development,Contoso,Natasha Jones,Natasha,Natasha@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Suriya Sajjateerakool,OU=Development,DC=Contoso,DC=com",user,Suriya Sajjateerakool,Sajjateerakool,London,Suriya,"CN=Suriya Sajjateerakool,OU=Development,DC=Contoso,DC=com",Suriya Sajjateerakool,Development,Contoso,Suriya Sajjateerakool,Suriya,Suriya@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Adrian King,OU=Development,DC=Contoso,DC=com",user,Adrian King,Adrian,London,King,"CN=Adrian King,OU=Development,DC=Contoso,DC=com",Adrian King,Development,Contoso,Adrian King,Adrian,Adrian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Todd Rowe,OU=Development,DC=Contoso,DC=com",user,Todd Rowe,Rowe,London,Todd,"CN=Todd Rowe,OU=Development,DC=Contoso,DC=com",Todd Rowe,Development,Contoso,Todd Rowe,Todd,Todd@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Alex Johnson,OU=Development,DC=Contoso,DC=com",user,Alex Johnson,Alex,Seattle,Johnson,"CN=Alex Johnson,OU=Development,DC=Contoso,DC=com",Alex Johnson,Development,Contoso,Alex Johnson,Alex,Alex@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Viktor Volodin,OU=Development,DC=Contoso,DC=com",user,Viktor Volodin,Volodin,London,Viktor,"CN=Viktor Volodin,OU=Development,DC=Contoso,DC=com",Viktor Volodin,Development,Contoso,Viktor Volodin,Viktor,Viktor@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Virginie Jean,OU=Development,DC=Contoso,DC=com",user,Virginie Jean,Jean,London,Virginie,"CN=Virginie Jean,OU=Development,DC=Contoso,DC=com",Virginie Jean,Development,Contoso,Virginie Jean,Virginie,Virginie@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Eugenia Lopez,OU=Development,DC=Contoso,DC=com",user,Eugenia Lopez,Eugenia,Seattle,Lopez,"CN=Eugenia Lopez,OU=Development,DC=Contoso,DC=com",Eugenia Lopez,Development,Contoso,Eugenia Lopez,Eugenia,Eugenia@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=William Flash,OU=Development,DC=Contoso,DC=com",user,William Flash,Flash,London,William,"CN=William Flash,OU=Development,DC=Contoso,DC=com",William Flash,Development,Contoso,William Flash,William,William@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Wilson Pais,OU=Development,DC=Contoso,DC=com",user,Wilson Pais,Pais,London,Wilson,"CN=Wilson Pais,OU=Development,DC=Contoso,DC=com",Wilson Pais,Development,Contoso,Wilson Pais,Wilson,Wilson@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Rory Nyuyen,OU=Development,DC=Contoso,DC=com",user,Rory Nyuyen,Rory,Seattle,Nguyen,"CN=Rory Nyuyen,OU=Development,DC=Contoso,DC=com",Rory Nyuyen,Development,Contoso,Rory Nyuyen,Rory,Rory@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Sam Centrell,OU=Development,DC=Contoso,DC=com",user,Sam Centrell,Sam,Seattle,Cantrell,"CN=Sam Centrell,OU=Development,DC=Contoso,DC=com",Sam Centrell,Development,Contoso,Sam Centrell,Sam,Sam@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Zrinka Makovac,OU=Development,DC=Contoso,DC=com",user,Zrinka Makovac,Makovac,London,Zrinka,"CN=Zrinka Makovac,OU=Development,DC=Contoso,DC=com",Zrinka Makovac,Development,Contoso,Zrinka Makovac,Zrinka,Zrinka@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Victoria Burke,OU=Development,DC=Contoso,DC=com",user,Victoria Burke,Victoria,Seattle,Burke,"CN=Victoria Burke,OU=Development,DC=Contoso,DC=com",Victoria Burke,Development,Contoso,Victoria Burke,Victoria,Victoria@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Corey Gray,OU=Development,DC=Contoso,DC=com",user,Corey Gray,Corey,Seattle,Gray,"CN=Corey Gray,OU=Development,DC=Contoso,DC=com",Corey Gray,Development,Contoso,Corey Gray,Corey,Corey@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Christoper Reed,OU=Development,DC=Contoso,DC=com",user,Christoper Reed,Christopher,Seattle,Reed,"CN=Christoper Reed,OU=Development,DC=Contoso,DC=com",Christoper Reed,Development,Contoso,Christoper Reed,Christopher,Christopher@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Hassen Seid,OU=Development,DC=Contoso,DC=com",user,Hassen Seid,Hassen,Seattle,Seid,"CN=Hassen Seid,OU=Development,DC=Contoso,DC=com",Hassen Seid,Development,Contoso,Hassen Seid,Hassen,Hassen@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Kemiliya Hussien,OU=Development,DC=Contoso,DC=com",user,Kemiliya Hussien,Kemiliya,London,Hussien,"CN=Kemiliya Hussien,OU=Development,DC=Contoso,DC=com",Kemiliya Hussien,Development,Contoso,Kemiliya Hussien,Kemiliya,Kemiliya@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Tekola Melaku,OU=Development,DC=Contoso,DC=com",user,Tekola Melaku,Tekola,London,Melaku,"CN=Tekola Melaku,OU=Development,DC=Contoso,DC=com",Tekola Melaku,Development,Contoso,Tekola Melaku,Tekola,Tekola@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Mukhtar Sarraf,OU=Development,DC=Contoso,DC=com",user,Mukhtar Sarraf,Mukhtar,London,Sarraf,"CN=Mukhtar Sarraf,OU=Development,DC=Contoso,DC=com",Mukhtar Sarraf,Development,Contoso,Mukhtar Sarraf,Mukhtar,Mukhtar@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Baha Nueimat,OU=Development,DC=Contoso,DC=com",user,Baha Nueimat,Baha,London,Nueimat,"CN=Baha Nueimat,OU=Development,DC=Contoso,DC=com",Baha Nueimat,Development,Contoso,Baha Nueimat,Baha,Baha@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Alfons Parovszky,OU=Development,DC=Contoso,DC=com",user,Alfons Parovszky,Parovszky,Seattle,Alfons,"CN=Alfons Parovszky,OU=Development,DC=Contoso,DC=com",Alfons Parovszky,Development,Contoso,Alfons Parovszky,Alfons,Alfons@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Anahita Bahrami,OU=Development,DC=Contoso,DC=com",user,Anahita Bahrami,Bahrami,Seattle,Anahita,"CN=Anahita Bahrami,OU=Development,DC=Contoso,DC=com",Anahita Bahrami,Development,Contoso,Anahita Bahrami,Anahita,Anahita@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ankur Kothari,OU=Development,DC=Contoso,DC=com",user,Ankur Kothari,Kothari,Seattle,Ankur,"CN=Ankur Kothari,OU=Development,DC=Contoso,DC=com",Ankur Kothari,Development,Contoso,Ankur Kothari,Ankur,Ankur@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Anna Lidman,OU=Development,DC=Contoso,DC=com",user,Anna Lidman,Lidman,Seattle,Anna,"CN=Anna Lidman,OU=Development,DC=Contoso,DC=com",Anna Lidman,Development,Contoso,Anna Lidman,Anna,Anna@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=April Stewart,OU=Development,DC=Contoso,DC=com",user,April Stewart,Stewart,Seattle,April,"CN=April Stewart,OU=Development,DC=Contoso,DC=com",April Stewart,Development,Contoso,April Stewart,April,April@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
