DN,objectClass,cn,sn,l,givenName,distinguishedName,displayName,department,company,name,sAMAccountName,userPrincipalName,objectCategory,UserPassword
"CN=Marianna Sunova,OU=Marketing,DC=Contoso,DC=com",user,Marianna Sunova,Sunova,London,Marianna,"CN=Marianna Sunova,OU=Marketing,DC=Contoso,DC=com",Marianna Sunova,Marketing,Contoso,Marianna Sunova,Marianna,Marianna@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Markus Breyer,OU=Marketing,DC=Contoso,DC=com",user,Markus Breyer,Breyer,London,Markus,"CN=Markus Breyer,OU=Marketing,DC=Contoso,DC=com",Markus Breyer,Marketing,Contoso,Markus Breyer,Markus,Markus@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Martin Berka,OU=Marketing,DC=Contoso,DC=com",user,Martin Berka,Berka,London,Martin,"CN=Martin Berka,OU=Marketing,DC=Contoso,DC=com",Martin Berka,Marketing,Contoso,Martin Berka,Martin,Martin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Mihail Frintu,OU=Marketing,DC=Contoso,DC=com",user,Mihail Frintu,Frintu,London,Mihail,"CN=Mihail Frintu,OU=Marketing,DC=Contoso,DC=com",Mihail Frintu,Marketing,Contoso,Mihail Frintu,Mihail,Mihail@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Miroslav Kubovcik,OU=Marketing,DC=Contoso,DC=com",user,Miroslav Kubovcik,Kubovcik,London,Miroslav,"CN=Miroslav Kubovcik,OU=Marketing,DC=Contoso,DC=com",Miroslav Kubovcik,Marketing,Contoso,Miroslav Kubovcik,Miroslav,Miroslav@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Nick Brigandi,OU=Marketing,DC=Contoso,DC=com",user,Nick Brigandi,Brigandi,London,Nick,"CN=Nick Brigandi,OU=Marketing,DC=Contoso,DC=com",Nick Brigandi,Marketing,Contoso,Nick Brigandi,Nick,Nick@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ovidiu Burlacu,OU=Marketing,DC=Contoso,DC=com",user,Ovidiu Burlacu,Burlacu,London,Ovidiu,"CN=Ovidiu Burlacu,OU=Marketing,DC=Contoso,DC=com",Ovidiu Burlacu,Marketing,Contoso,Ovidiu Burlacu,Ovidiu,Ovidiu@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Pavel Bansky,OU=Marketing,DC=Contoso,DC=com",user,Pavel Bansky,Bansky,London,Pavel,"CN=Pavel Bansky,OU=Marketing,DC=Contoso,DC=com",Pavel Bansky,Marketing,Contoso,Pavel Bansky,Pavel,Pavel@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Per Reitzel,OU=Marketing,DC=Contoso,DC=com",user,Per Reitzel,Reitzel,London,Per,"CN=Per Reitzel,OU=Marketing,DC=Contoso,DC=com",Per Reitzel,Marketing,Contoso,Per Reitzel,Per,Per@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Rene Valdes,OU=Marketing,DC=Contoso,DC=com",user,Rene Valdes,Valdes,London,Rene,"CN=Rene Valdes,OU=Marketing,DC=Contoso,DC=com",Rene Valdes,Marketing,Contoso,Rene Valdes,Rene,Rene@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Samantha Smith,OU=Marketing,DC=Contoso,DC=com",user,Samantha Smith,Smith,London,Samantha,"CN=Samantha Smith,OU=Marketing,DC=Contoso,DC=com",Samantha Smith,Marketing,Contoso,Samantha Smith,Samantha,Samantha@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Shammi Mohamed,OU=Marketing,DC=Contoso,DC=com",user,Shammi Mohamed,Mohamed,London,Shammi,"CN=Shammi Mohamed,OU=Marketing,DC=Contoso,DC=com",Shammi Mohamed,Marketing,Contoso,Shammi Mohamed,Shammi,Shammi@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Sidney Higa,OU=Marketing,DC=Contoso,DC=com",user,Sidney Higa,Higa,London,Sidney,"CN=Sidney Higa,OU=Marketing,DC=Contoso,DC=com",Sidney Higa,Marketing,Contoso,Sidney Higa,Sidney,Sidney@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Steve Kastner,OU=Marketing,DC=Contoso,DC=com",user,Steve Kastner,Kastner,London,Steve,"CN=Steve Kastner,OU=Marketing,DC=Contoso,DC=com",Steve Kastner,Marketing,Contoso,Steve Kastner,Steve,Steve@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Stuart Munson,OU=Marketing,DC=Contoso,DC=com",user,Stuart Munson,Munson,London,Stuart,"CN=Stuart Munson,OU=Marketing,DC=Contoso,DC=com",Stuart Munson,Marketing,Contoso,Stuart Munson,Stuart,Stuart@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Tengiz Kharatishvili,OU=Marketing,DC=Contoso,DC=com",user,Tengiz Kharatishvili,Kharatishvili,London,Tengiz,"CN=Tengiz Kharatishvili,OU=Marketing,DC=Contoso,DC=com",Tengiz Kharatishvili,Marketing,Contoso,Tengiz Kharatishvili,Tengiz,Tengiz@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Tomas Richardson,OU=Marketing,DC=Contoso,DC=com",user,Tomas Richardson,Tomas,Seattle,Richardson,"CN=Tomas Richardson,OU=Marketing,DC=Contoso,DC=com",Tomas Richardson,Marketing,Contoso,Tomas Richardson,Tomas,Tomas@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Sara Perez,OU=Marketing,DC=Contoso,DC=com",user,Sara Perez,Sara,Seattle,Perez,"CN=Sara Perez,OU=Marketing,DC=Contoso,DC=com",Sara Perez,Marketing,Contoso,Sara Perez,Sara,Sara@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Yoichiro Okada,OU=Marketing,DC=Contoso,DC=com",user,Yoichiro Okada,Okada,London,Yoichiro,"CN=Yoichiro Okada,OU=Marketing,DC=Contoso,DC=com",Yoichiro Okada,Marketing,Contoso,Yoichiro Okada,Yoichiro,Yoichiro@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Gabriel Diaz,OU=Marketing,DC=Contoso,DC=com",user,Gabriel Diaz,Gabriel,Seattle,Diaz,"CN=Gabriel Diaz,OU=Marketing,DC=Contoso,DC=com",Gabriel Diaz,Marketing,Contoso,Gabriel Diaz,Gabriel,Gabriel@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Yvette Kirwan,OU=Marketing,DC=Contoso,DC=com",user,Yvette Kirwan,Kirwan,London,Yvette,"CN=Yvette Kirwan,OU=Marketing,DC=Contoso,DC=com",Yvette Kirwan,Marketing,Contoso,Yvette Kirwan,Yvette,Yvette@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Vance DeLeon,OU=Marketing,DC=Contoso,DC=com",user,Vance DeLeon,Vance,Seattle,DeLeon,"CN=Vance DeLeon,OU=Marketing,DC=Contoso,DC=com",Vance DeLeon,Marketing,Contoso,Vance DeLeon,Vance,Vance@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Joseph Price,OU=Marketing,DC=Contoso,DC=com",user,Joseph Price,Joseph,Seattle,Price,"CN=Joseph Price,OU=Marketing,DC=Contoso,DC=com",Joseph Price,Marketing,Contoso,Joseph Price,Joseph,Joseph@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Anila Shkoza,OU=Marketing,DC=Contoso,DC=com",user,Anila Shkoza,Anila,Seattle,Shkoza,"CN=Anila Shkoza,OU=Marketing,DC=Contoso,DC=com",Anila Shkoza,Marketing,Contoso,Anila Shkoza,Anila,Anila@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Wilna Rossouw,OU=Marketing,DC=Contoso,DC=com",user,Wilna Rossouw,Wilna,Seattle,Rossouw,"CN=Wilna Rossouw,OU=Marketing,DC=Contoso,DC=com",Wilna Rossouw,Marketing,Contoso,Wilna Rossouw,Wilna,Wilna@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Aila Hotaki,OU=Marketing,DC=Contoso,DC=com",user,Aila Hotaki,Aila,Seattle,Hotaki,"CN=Aila Hotaki,OU=Marketing,DC=Contoso,DC=com",Aila Hotaki,Marketing,Contoso,Aila Hotaki,Aila,Aila@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Dharef Sayegh,OU=Marketing,DC=Contoso,DC=com",user,Dharef Sayegh,Dharef,London,Sayegh,"CN=Dharef Sayegh,OU=Marketing,DC=Contoso,DC=com",Dharef Sayegh,Marketing,Contoso,Dharef Sayegh,Dharef,Dharef@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Rovena Vogli,OU=Marketing,DC=Contoso,DC=com",user,Rovena Vogli,Rovena,London,Vogli,"CN=Rovena Vogli,OU=Marketing,DC=Contoso,DC=com",Rovena Vogli,Marketing,Contoso,Rovena Vogli,Rovena,Rovena@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Hamed Bettar,OU=Marketing,DC=Contoso,DC=com",user,Hamed Bettar,Hamed,London,Bettar,"CN=Hamed Bettar,OU=Marketing,DC=Contoso,DC=com",Hamed Bettar,Marketing,Contoso,Hamed Bettar,Hamed,Hamed@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Elona Bregu,OU=Marketing,DC=Contoso,DC=com",user,Elona Bregu,Elona,London,Leka,"CN=Elona Bregu,OU=Marketing,DC=Contoso,DC=com",Elona Bregu,Marketing,Contoso,Elona Bregu,Elona,Elona@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Alice Ciccu,OU=Marketing,DC=Contoso,DC=com",user,Alice Ciccu,Ciccu,Seattle,Alice,"CN=Alice Ciccu,OU=Marketing,DC=Contoso,DC=com",Alice Ciccu,Marketing,Contoso,Alice Ciccu,Alice,Alice@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Anders Riis,OU=Marketing,DC=Contoso,DC=com",user,Anders Riis,Riis,Seattle,Anders,"CN=Anders Riis,OU=Marketing,DC=Contoso,DC=com",Anders Riis,Marketing,Contoso,Anders Riis,Anders,Anders@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
