DN,objectClass,cn,sn,l,givenName,distinguishedName,displayName,department,company,name,sAMAccountName,userPrincipalName,objectCategory,UserPassword
"CN=Oliver Szimmetat,OU=IT,DC=Contoso,DC=com",user,Oliver Szimmetat,Szimmetat,London,Oliver,"CN=Oliver Szimmetat,OU=IT,DC=Contoso,DC=com",Oliver Szimmetat,IT,Contoso,Oliver Szimmetat,Oliver,Oliver@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Rainer Schiller,OU=IT,DC=Contoso,DC=com",user,Rainer Schiller,Schiller,London,Rainer,"CN=Rainer Schiller,OU=IT,DC=Contoso,DC=com",Rainer Schiller,IT,Contoso,Rainer Schiller,Rainer,Rainer@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ranjith Narayanan,OU=IT,DC=Contoso,DC=com",user,Ranjith Narayanan,Narayanan,London,Ranjith,"CN=Ranjith Narayanan,OU=IT,DC=Contoso,DC=com",Ranjith Narayanan,IT,Contoso,Ranjith Narayanan,Ranjith,Ranjith@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Rodrigo Ready,OU=IT,DC=Contoso,DC=com",user,Rodrigo Ready,Ready,London,Rodrigo,"CN=Rodrigo Ready,OU=IT,DC=Contoso,DC=com",Rodrigo Ready,IT,Contoso,Rodrigo Ready,Rodrigo,Rodrigo@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Sanjay Manchanda,OU=IT,DC=Contoso,DC=com",user,Sanjay Manchanda,Manchanda,London,Sanjay,"CN=Sanjay Manchanda,OU=IT,DC=Contoso,DC=com",Sanjay Manchanda,IT,Contoso,Sanjay Manchanda,Sanjay,Sanjay@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Shmuel Yair,OU=IT,DC=Contoso,DC=com",user,Shmuel Yair,Yair,London,Shmuel,"CN=Shmuel Yair,OU=IT,DC=Contoso,DC=com",Shmuel Yair,IT,Contoso,Shmuel Yair,Shmuel,Shmuel@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Srikanth Bolisetty,OU=IT,DC=Contoso,DC=com",user,Srikanth Bolisetty,Bolisetty,London,Srikanth,"CN=Srikanth Bolisetty,OU=IT,DC=Contoso,DC=com",Srikanth Bolisetty,IT,Contoso,Srikanth Bolisetty,Srikanth,Srikanth@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Stig Struve-Christensen,OU=IT,DC=Contoso,DC=com",user,Stig Struve-Christensen,Struve-Christensen,London,Stig,"CN=Stig Struve-Christensen,OU=IT,DC=Contoso,DC=com",Stig Struve-Christensen,IT,Contoso,Stig Struve-Christensen,Stig,Stig@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Amari Rivera,OU=IT,DC=Contoso,DC=com",user,Amari Rivera,Amari,London,Rivera,"CN=Amari Rivera,OU=IT,DC=Contoso,DC=com",Amari Rivera,IT,Contoso,Amari Rivera,Amari,Amari@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Tamer Salah,OU=IT,DC=Contoso,DC=com",user,Tamer Salah,Salah,London,Tamer,"CN=Tamer Salah,OU=IT,DC=Contoso,DC=com",Tamer Salah,IT,Contoso,Tamer Salah,Tamer,Tamer@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Briana Hernandez,OU=IT,DC=Contoso,DC=com",user,Briana Hernandez,Briana,London,Hernandez,"CN=Briana Hernandez,OU=IT,DC=Contoso,DC=com",Briana Hernandez,IT,Contoso,Briana Hernandez,Briana,Briana@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Terry Earls,OU=IT,DC=Contoso,DC=com",user,Terry Earls,Earls,London,Terry,"CN=Terry Earls,OU=IT,DC=Contoso,DC=com",Terry Earls,IT,Contoso,Terry Earls,Terry,Terry@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jamie Evans,OU=IT,DC=Contoso,DC=com",user,Jamie Evans,Jamie,Seattle,Evans,"CN=Jamie Evans,OU=IT,DC=Contoso,DC=com",Jamie Evans,IT,Contoso,Jamie Evans,Jamie,Jamie@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=XinKai Wang,OU=IT,DC=Contoso,DC=com",user,XinKai Wang,Wang,London,XinKai,"CN=XinKai Wang,OU=IT,DC=Contoso,DC=com",XinKai Wang,IT,Contoso,XinKai Wang,XinKai,XinKai@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Robin Kline,OU=IT,DC=Contoso,DC=com",user,Robin Kline,Robin,Seattle,Kline,"CN=Robin Kline,OU=IT,DC=Contoso,DC=com",Robin Kline,IT,Contoso,Robin Kline,Robin,Robin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Fatmir Selvia,OU=IT,DC=Contoso,DC=com",user,Fatmir Selvia,Fatmir,Seattle,Selvia,"CN=Fatmir Selvia,OU=IT,DC=Contoso,DC=com",Fatmir Selvia,IT,Contoso,Fatmir Selvia,Fatmir,Fatmir@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Maisha Bishara,OU=IT,DC=Contoso,DC=com",user,Maisha Bishara,Maisha,Seattle,Bishara,"CN=Maisha Bishara,OU=IT,DC=Contoso,DC=com",Maisha Bishara,IT,Contoso,Maisha Bishara,Maisha,Maisha@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ward Refai,OU=IT,DC=Contoso,DC=com",user,Ward Refai,Ward,London,Refai,"CN=Ward Refai,OU=IT,DC=Contoso,DC=com",Ward Refai,IT,Contoso,Ward Refai,Ward,Ward@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Alessio Roic,OU=IT,DC=Contoso,DC=com",user,Alessio Roic,Roic,Seattle,Alessio,"CN=Alessio Roic,OU=IT,DC=Contoso,DC=com",Alessio Roic,IT,Contoso,Alessio Roic,Alessio,Alessio@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
